,date,close
0,2014-03-19,7700140506.0
1,2014-03-20,7378309861.0
2,2014-03-21,7179602543.0
3,2014-03-22,7125487905.0
4,2014-03-23,7105506101.0
5,2014-03-24,7392286405.0
6,2014-03-25,7370657785.0
7,2014-03-26,7337887104.0
8,2014-03-27,5983834490.0
9,2014-03-28,6331280141.0
10,2014-03-29,6211737934.0
11,2014-03-30,5822876641.0
12,2014-03-31,5757067461.0
13,2014-04-01,6062811627.0
14,2014-04-02,5559342480.0
15,2014-04-03,5708178795.0
16,2014-04-04,5722348588.0
17,2014-04-05,5878817744.0
18,2014-04-06,5787169775.0
19,2014-04-07,5671751554.0
20,2014-04-08,5753123342.0
21,2014-04-09,5602451969.0
22,2014-04-10,4604046356.0
23,2014-04-11,5366814625.0
24,2014-04-12,5370704647.0
25,2014-04-13,5291306568.0
26,2014-04-14,5829913901.0
27,2014-04-15,6626085011.0
28,2014-04-16,6743079365.0
29,2014-04-17,6367048832.0
30,2014-04-18,6149574428.0
31,2014-04-19,6417931890.0
32,2014-04-20,6384446017.0
33,2014-04-21,6339655392.0
34,2014-04-22,6253159466.0
35,2014-04-23,6278240710.0
36,2014-04-24,6407134317.0
37,2014-04-25,5952839340.0
38,2014-04-26,5855602994.0
39,2014-04-27,5501947195.0
40,2014-04-28,5666016020.0
41,2014-04-29,5733852667.0
42,2014-04-30,5742958681.0
43,2014-05-01,5900449064.0
44,2014-05-02,5816428174.0
45,2014-05-03,5625530979.0
46,2014-05-04,5617011560.0
47,2014-05-05,5550868394.0
48,2014-05-06,5487628757.0
49,2014-05-07,5642717165.0
50,2014-05-08,5612705213.0
51,2014-05-09,5804025985.0
52,2014-05-10,5842346150.0
53,2014-05-11,5658851002.0
54,2014-05-12,5691233421.0
55,2014-05-13,5647598803.0
56,2014-05-14,5740839753.0
57,2014-05-15,5750440755.0
58,2014-05-16,5761947553.0
59,2014-05-17,5782107713.0
60,2014-05-18,5775347857.0
61,2014-05-19,5794870838.0
62,2014-05-20,6317085029.0
63,2014-05-21,6384175403.0
64,2014-05-22,6859142720.0
65,2014-05-23,6784842900.0
66,2014-05-24,6840218089.0
67,2014-05-25,7449311247.0
68,2014-05-26,7535617118.0
69,2014-05-27,7415652360.0
70,2014-05-28,7501036178.0
71,2014-05-29,7406149834.0
72,2014-05-30,8032977123.0
73,2014-05-31,8118119738.0
74,2014-06-01,8190759985.0
75,2014-06-02,8585036789.0
76,2014-06-03,8694808998.0
77,2014-06-04,8306213352.0
78,2014-06-05,8566402816.0
79,2014-06-06,8388950222.0
80,2014-06-07,8512514842.0
81,2014-06-08,8538703837.0
82,2014-06-09,8420515244.0
83,2014-06-10,8427926520.0
84,2014-06-11,8060815753.0
85,2014-06-12,7396994894.0
86,2014-06-13,7694746573.0
87,2014-06-14,7364496316.0
88,2014-06-15,7665258183.0
89,2014-06-16,7643452185.0
90,2014-06-17,7896243559.0
91,2014-06-18,7903675468.0
92,2014-06-19,7729982751.0
93,2014-06-20,7656917703.0
94,2014-06-21,7694824420.0
95,2014-06-22,7844175410.0
96,2014-06-23,7686189734.0
97,2014-06-24,7479118361.0
98,2014-06-25,7313867566.0
99,2014-06-26,7575743502.0
100,2014-06-27,7835130588.0
101,2014-06-28,7694817353.0
102,2014-06-29,7847760411.0
103,2014-06-30,8379261830.0
104,2014-07-01,8336589356.0
105,2014-07-02,8488299468.0
106,2014-07-03,8437590283.0
107,2014-07-04,8218904246.0
108,2014-07-05,8225544381.0
109,2014-07-06,8248681072.0
110,2014-07-07,8137755768.0
111,2014-07-08,8168713064.0
112,2014-07-09,8116270831.0
113,2014-07-10,8016643801.0
114,2014-07-11,8310397617.0
115,2014-07-12,8349292457.0
116,2014-07-13,8270825071.0
117,2014-07-14,8143792842.0
118,2014-07-15,8123370352.0
119,2014-07-16,8086808038.0
120,2014-07-17,8164522085.0
121,2014-07-18,8297643170.0
122,2014-07-19,8244041817.0
123,2014-07-20,8241346617.0
124,2014-07-21,8184015800.0
125,2014-07-22,8122977700.0
126,2014-07-23,8158155027.0
127,2014-07-24,7902314848.0
128,2014-07-25,7919062738.0
129,2014-07-26,7830786652.0
130,2014-07-27,7767974426.0
131,2014-07-28,7715961388.0
132,2014-07-29,7706328180.0
133,2014-07-30,7414685712.0
134,2014-07-31,7656986551.0
135,2014-08-01,7878547252.0
136,2014-08-02,7761791088.0
137,2014-08-03,7767225052.0
138,2014-08-04,7760864803.0
139,2014-08-05,7671016793.0
140,2014-08-06,7662939027.0
141,2014-08-07,7723645676.0
142,2014-08-08,7751682033.0
143,2014-08-09,7750074937.0
144,2014-08-10,7805645473.0
145,2014-08-11,7576737484.0
146,2014-08-12,7481259586.0
147,2014-08-13,7245133148.0
148,2014-08-14,6706795731.0
149,2014-08-15,6601287523.0
150,2014-08-16,6907806684.0
151,2014-08-17,6587928746.0
152,2014-08-18,6294887714.0
153,2014-08-19,6441756088.0
154,2014-08-20,6860922060.0
155,2014-08-21,6903001463.0
156,2014-08-22,6861158112.0
157,2014-08-23,6623410115.0
158,2014-08-24,6789391314.0
159,2014-08-25,6771533667.0
160,2014-08-26,6861264884.0
161,2014-08-27,6857116174.0
162,2014-08-28,6773544485.0
163,2014-08-29,6798596035.0
164,2014-08-30,6697583793.0
165,2014-08-31,6423589157.0
166,2014-09-01,6359071287.0
167,2014-09-02,6356832714.0
168,2014-09-03,6375576713.0
169,2014-09-04,6543124953.0
170,2014-09-05,6412261668.0
171,2014-09-06,6445516674.0
172,2014-09-07,6399259547.0
173,2014-09-08,6314238712.0
174,2014-09-09,6379477871.0
175,2014-09-10,6428829570.0
176,2014-09-11,6419874453.0
177,2014-09-12,6401935751.0
178,2014-09-13,6450974761.0
179,2014-09-14,6432431591.0
180,2014-09-15,6347849311.0
181,2014-09-16,6248699943.0
182,2014-09-17,6111715297.0
183,2014-09-18,5754272000.0
184,2014-09-19,5362493634.0
185,2014-09-20,5533641909.0
186,2014-09-21,5420376551.0
